name,ra,dec,l,b,pmra,pmdec,median_member_parallax,median_member_RV,x,y,z,u,v,w,rho,phi,z_cyl,v_rho,v_phi,v_z
OCSN_61,84.08365125,-0.40216642,204.489898,-16.84,-1.04468439,-0.63025251,2.58416605,29.953518,-337.06170383913684,-153.53610299332124,-112.08670843747433,-25.455813962308323,-11.715131764098597,-10.815717449169835,8.588689439184062,358.97569798338407,-0.09043725615130223,10.210383535227214,233.5047470357081,-3.501557221933989
OCSN_65,83.76420766,-2.15505865,205.95275798,-17.94,-1.25773648,0.92965469,2.368764025,31.338455,-361.1239174080351,-175.7634626718182,-130.06423949883464,-27.66664889054721,-10.32800196596291,-10.944609171093266,8.613217960226512,358.83073045402693,-0.10835413123279787,11.801931844237092,234.96179787747005,-3.6248756810473175
OCSN_76,99.63808779,-16.76476224,226.5828343,-10.34,-4.29528756,5.01655739,2.16679737,25.741259499999998,-312.05178200961296,-329.7875353306523,-82.8004846722404,-27.068977101215125,-8.316879137158988,-8.334963838189923,8.568582284109853,357.7942583933598,-0.0612144033524652,6.868605359188324,237.12320978182393,-1.0167416854609752
OCSN_82,108.5313574,-35.06059214,246.87011795,-10.95,-5.44022986,6.45689992,2.41904969,18.063782,-159.428707615889,-373.2358574350144,-78.51771197485394,-21.384584893918042,-9.292450298125365,-7.510568785697306,8.417878589203463,357.45876149251194,-0.05731628466064205,-0.15758818846889017,235.93261713074423,-0.20667410315073872
OCSN_86,138.25821807,-29.7467166,256.40223507,12.79,-20.76322919,16.3728189,3.835125095,25.166836,-59.782089576416006,-247.15172483611065,57.71900242518365,-37.36340303585678,-17.480762208365864,0.14087997508576125,8.313285160793225,358.2963607077694,0.0786690945019154,19.487249469511152,228.19949323858745,7.485001477966953
OCSN_88,140.96126277,-63.04946734,281.76058496,-9.066,-34.22873019,39.49051883,11.33647719,18.333874,17.754774706963612,-85.28034635458367,-13.898923050661292,-17.606414211950423,-22.398577336448508,-1.4163418712161462,8.232695873120166,359.4064773967072,0.006856257869944455,4.203728742892726,222.65693269784106,5.877994082249846
OCSN_89,186.45011925,-65.88346546,300.31371314,-3.142,-13.75102933,-2.68489211,2.42856665,0.954701,207.5197126861952,-354.9323853554884,-22.57013324396624,-22.34344540678429,-13.66718706105555,-7.926006222466779,8.050340069552554,357.473059416777,-0.0022934862859958186,1.0531410760802653,231.604489367852,-0.619700518272231
OCSN_92,231.55515653,-36.0620607,334.84284162,17.04,-20.49808379,-24.57592904,7.11287076,2.384808,121.66601644717305,-57.14060340198353,41.206058724958005,-5.2865195612327796,-20.321783454779577,-4.434506453377227,8.12840521787471,359.59722082699034,0.06169927242130973,-7.381595993546017,224.63188754475004,2.828798693328296
OCSN_96,240.42965468,-22.70921448,350.27381794,22.2,-11.54067677,-23.88756784,7.06418922,-7.704747,129.1793542220116,-22.14179109576915,53.492088884659935,-7.713624992012033,-15.754166190218738,-8.282741041622451,8.120690253958472,359.8437763170873,0.07396638293845534,-3.9905665927667195,229.23582453524762,-1.0133012060503765
OCSN_99,255.99372708,-30.17794775,353.88523372,6.803,-9.61660409,-46.30324542,7.038993295,0.733945,140.262860143726,-15.02633796326196,16.829204893340584,-0.749543781867867,-28.907177542714695,-13.367678674942544,8.109682893984012,359.89383615332036,0.037275697768462235,-10.717130344053965,216.07335585625262,-6.115789943408927
